_class,_id,batchId,Year,Quarter,Month,Day,createdBy,designId,Year,Quarter,Month,Day,lastModifiedBy,qrCode,type,urlPrefix
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5d2382ecd43e5d5bb5d,6632d5d1382ecd43e5d5bb5b,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d387382ecd43e5d5bb06,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,S47B5O,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5d2382ecd43e5d5bb5e,6632d5d1382ecd43e5d5bb5b,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d387382ecd43e5d5bb06,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,SPZVMV,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5d2382ecd43e5d5bb5f,6632d5d1382ecd43e5d5bb5b,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d387382ecd43e5d5bb06,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,TM5FUU,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5d2382ecd43e5d5bb60,6632d5d1382ecd43e5d5bb5b,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d387382ecd43e5d5bb06,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,Q5MZNP,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5d2382ecd43e5d5bb62,6632d5d2382ecd43e5d5bb61,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d387382ecd43e5d5bb07,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,OUH95G,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5d2382ecd43e5d5bb63,6632d5d2382ecd43e5d5bb61,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d387382ecd43e5d5bb07,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,O1NL50,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5d2382ecd43e5d5bb64,6632d5d2382ecd43e5d5bb61,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d387382ecd43e5d5bb07,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,P4K9GK,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5d2382ecd43e5d5bb65,6632d5d2382ecd43e5d5bb61,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d387382ecd43e5d5bb07,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,Q3L4ZS,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5d2382ecd43e5d5bb66,6632d5d2382ecd43e5d5bb61,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d387382ecd43e5d5bb07,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,OV3WB8,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5d3382ecd43e5d5bb68,6632d5d3382ecd43e5d5bb67,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d388382ecd43e5d5bb08,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,1aBcDe,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5d4382ecd43e5d5bb6a,6632d5d4382ecd43e5d5bb69,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d388382ecd43e5d5bb09,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,2dEfGh,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5d4382ecd43e5d5bb6c,6632d5d4382ecd43e5d5bb6b,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d389382ecd43e5d5bb0a,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,3iJkLm,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5d5382ecd43e5d5bb6e,6632d5d5382ecd43e5d5bb6d,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d38a382ecd43e5d5bb0b,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,4nOpQr,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5d5382ecd43e5d5bb70,6632d5d5382ecd43e5d5bb6f,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d38a382ecd43e5d5bb0c,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,5sTuVw,URL,https://securetag.in/found
